Id,Label,d0,Degree,Weighted Degree,modularity_class,clustering,triangles
nausea,nausea,symptom,2447,9254,51,0.019737,59067
diarrhea,diarrhea,symptom,1417,4984,51,0.040663,40795
liver function abnormalities,liver function abnormalities,symptom,56,67,51,0.414935,639
joint contractures,joint contractures,symptom,42,42,25,0.341463,294
jaundice,jaundice,symptom,832,2366,51,0.06839,23642
severe pain,severe pain,symptom,387,576,207,0.116681,8715
ulcers,ulcers,symptom,723,1334,100,0.0667,17409
proteinuria,proteinuria,symptom,494,1091,80,0.101789,12395
gingival hyperplasia,gingival hyperplasia,symptom,8,8,80,0.464286,13
facial hirsutism,facial hirsutism,symptom,5,5,80,1,10
oliguria,oliguria,symptom,360,810,80,0.144909,9364
impaired liver function,impaired liver function,symptom,57,68,51,0.436717,697
and cylindruria,and cylindruria,symptom,5,5,80,1,10
acute abdomen,acute abdomen,symptom,86,106,51,0.303694,1110
abdominal distension,abdominal distension,symptom,1076,2900,51,0.046847,27094
dyspnea,dyspnea,symptom,710,2266,79,0.077892,19605
abdominal pain,abdominal pain,symptom,1921,6665,51,0.024681,45516
composite ulcers,composite ulcers,symptom,11,11,51,1,55
shock,shock,symptom,860,2307,79,0.069575,25699
gastrointestinal emptying manifestations,gastrointestinal emptying manifestations,symptom,11,11,51,1,55
abnormal respiration,abnormal respiration,symptom,207,377,79,0.225834,4815
irritability,irritability,symptom,930,1772,79,0.051372,22192
somnolence,somnolence,symptom,555,1240,79,0.116629,17930
coma,coma,symptom,971,2839,79,0.060461,28473
angina,angina,symptom,257,551,79,0.180903,5951
arrhythmia,arrhythmia,symptom,594,1543,79,0.092658,16319
hemodynamic disorders,hemodynamic disorders,symptom,15,15,79,0.771429,81
menopause,menopause,symptom,13,15,80,0.525641,41
pathological fractures,pathological fractures,symptom,66,70,51,0.30676,658
anemia,anemia,symptom,1164,3133,51,0.048419,32773
tendency to bleed,tendency to bleed,symptom,183,270,51,0.214196,3567
recurrent infections,recurrent infections,symptom,170,262,51,0.264741,3803
weight loss,weight loss,symptom,1119,3412,51,0.049722,31102
hepatomegaly,hepatomegaly,symptom,650,1651,51,0.095479,20139
abdominal mass,abdominal mass,symptom,447,1048,51,0.109981,10963
skin rash,skin rash,symptom,13,15,51,0.935897,73
ascites,ascites,symptom,441,1051,51,0.129303,12545
wasting,wasting,symptom,119,192,51,0.368751,2589
persistent febrile,persistent febrile,symptom,7,7,51,1,21
generalized hypotonia,generalized hypotonia,symptom,17,17,59,1,136
inability to roll over in bed,inability to roll over in bed,symptom,17,17,59,1,136
poor head support,poor head support,symptom,17,17,59,1,136
numerous dysmorphic features,numerous dysmorphic features,symptom,17,17,59,1,136
and severe intellectual disability in some cases,and severe intellectual disability in some cases,symptom,17,17,59,1,136
intellectual developmental delay,intellectual developmental delay,symptom,98,106,31,0.22449,1067
short stature,short stature,symptom,144,154,59,0.109071,1123
distinctive facial appearance,distinctive facial appearance,symptom,23,24,31,0.355731,90
skin infections,skin infections,symptom,20,20,80,0.357895,68
absence of pus at infection sites,absence of pus at infection sites,symptom,4,4,31,1,6
blurred vision,blurred vision,symptom,471,886,79,0.097827,10828
chest pain,chest pain,symptom,993,3357,79,0.055605,27387
chest tightness,chest tightness,symptom,732,2099,79,0.070489,18859
refractory heart failure,refractory heart failure,symptom,42,42,80,0.563298,485
pericardial effusion,pericardial effusion,symptom,132,200,79,0.233171,2016
atrial premature beats,atrial premature beats,symptom,25,27,79,0.583333,175
electrophysiological abnormalities,electrophysiological abnormalities,symptom,55,66,79,0.550168,817
pulsus paradoxus,pulsus paradoxus,symptom,21,27,79,0.666667,140
no evident cardiac impulse in the precordial region,no evident cardiac impulse in the precordial region,symptom,11,11,79,1,55
pleural effusion,pleural effusion,symptom,299,616,79,0.182914,8149
burning sensation in the tongue,burning sensation in the tongue,symptom,27,31,1,0.638177,224
mouth,mouth,symptom,50,56,1,0.359184,440
and pharynx,and pharynx,symptom,16,18,1,0.7,84
difficulty breathing,difficulty breathing,symptom,934,2498,79,0.058862,25647
corneal ulceration,corneal ulceration,symptom,87,91,1,0.230152,861
and proteinuria,and proteinuria,symptom,10,10,1,1,45
localized mild pain,localized mild pain,symptom,2,2,207,1,1
tenderness,tenderness,symptom,627,997,207,0.065758,12905
innate abdominal wall development deficiency,innate abdominal wall development deficiency,symptom,10,10,51,1,45
absence of contractions interval,absence of contractions interval,symptom,10,10,51,1,45
periumbilical wall defect,periumbilical wall defect,symptom,10,10,51,1,45
thin skin,thin skin,symptom,20,20,59,0.505263,96
short nails,short nails,symptom,16,17,51,0.733333,88
irritative dry cough,irritative dry cough,symptom,17,17,207,0.676471,92
wheezing,wheezing,symptom,315,657,79,0.144394,7141
expression of severe discomfort,expression of severe discomfort,symptom,5,5,79,1,10
scratching the throat,scratching the throat,symptom,5,5,79,1,10
inspiratory stridor,inspiratory stridor,symptom,14,14,79,0.67033,61
chills,chills,symptom,900,2305,0,0.06114,24734
signs of meningeal irritation,signs of meningeal irritation,symptom,134,243,31,0.326114,2906
cough,cough,symptom,1074,4012,79,0.053693,30938
expectoration,expectoration,symptom,437,1412,79,0.129091,12298
hypocalcemia,hypocalcemia,symptom,105,127,51,0.284799,1555
interlobar fissures often presenting as arc-shaped drooping,interlobar fissures often presenting as arc-shaped drooping,symptom,38,60,79,0.758179,533
mucopurulent sputum,mucopurulent sputum,symptom,56,77,79,0.509091,784
granuloma,granuloma,symptom,194,255,100,0.212702,3982
vasculitis,vasculitis,symptom,120,162,80,0.313305,2237
eosinophilia,eosinophilia,symptom,97,131,51,0.348797,1624
inflammatory cell infiltration,inflammatory cell infiltration,symptom,107,116,25,0.285135,1617
hemoptysis,hemoptysis,symptom,649,2169,79,0.096069,20201
pain at the fracture site,pain at the fracture site,symptom,4,4,79,1,6
shallow,shallow,symptom,18,18,207,0.352941,54
rapid breathing,rapid breathing,symptom,269,513,79,0.203074,7320
skin sensory disturbance,skin sensory disturbance,symptom,8,8,1,1,28
peripheral nerve thickening,peripheral nerve thickening,symptom,8,8,1,1,28
multiple maculopapular rashes,multiple maculopapular rashes,symptom,8,8,1,1,28
nodules or plaques,nodules or plaques,symptom,19,19,1,0.555556,95
red eye,red eye,symptom,205,335,1,0.129173,2701
eye pain,eye pain,symptom,435,897,1,0.074665,7048
photophobia,photophobia,symptom,424,845,1,0.088195,7909
tearing,tearing,symptom,392,769,1,0.082089,6291
blurry vision or diminished visual acuity,blurry vision or diminished visual acuity,symptom,8,8,1,1,28
functional impairment,functional impairment,symptom,89,115,207,0.14096,552
teeth are unusually small,teeth are unusually small,symptom,5,5,0,1,10
translucent,translucent,symptom,5,5,0,1,10
abnormal tooth color,abnormal tooth color,symptom,38,42,0,0.28165,198
yellowing of teeth,yellowing of teeth,symptom,30,32,0,0.252874,110
chalky white to brownish discolorations on teeth,chalky white to brownish discolorations on teeth,symptom,5,5,0,1,10
abnormal tooth shape,abnormal tooth shape,symptom,5,5,0,1,10
sternal cleft,sternal cleft,symptom,11,11,207,1,55
tenderness in the intercostal spaces,tenderness in the intercostal spaces,symptom,11,11,207,1,55
sunken lower sternum,sunken lower sternum,symptom,11,11,207,1,55
ribcage upon inhalation,ribcage upon inhalation,symptom,11,11,207,1,55
pectus carinatum when inhaling,pectus carinatum when inhaling,symptom,11,11,207,1,55
abnormal thorax,abnormal thorax,symptom,23,23,207,0.478261,121
intercostal neuralgia,intercostal neuralgia,symptom,55,60,31,0.335354,498
pneumothorax,pneumothorax,symptom,114,207,79,0.339544,2187
paradoxical abdominal respiration,paradoxical abdominal respiration,symptom,11,11,207,1,55
chest deformity,chest deformity,symptom,115,128,79,0.24836,1628
absence of the central line of the upper abdominal wall,absence of the central line of the upper abdominal wall,symptom,11,11,207,1,55
and elevated diaphragm,and elevated diaphragm,symptom,11,11,207,1,55
a strong,a strong,symptom,2,2,207,1,1
foul odor at the extraction site 2 to 3 days post-tooth extraction,foul odor at the extraction site 2 to 3 days post-tooth extraction,symptom,2,2,207,1,1
bradycardia,bradycardia,symptom,227,369,79,0.202292,5189
palpitations with fatigue,palpitations with fatigue,symptom,60,68,79,0.461582,817
pale complexion,pale complexion,symptom,449,717,79,0.118159,11884
pruritus ani (anal itching),pruritus ani (anal itching),symptom,9,9,51,1,36
constipation,constipation,symptom,835,1810,51,0.061615,21454
intestinal perforation,intestinal perforation,symptom,127,178,51,0.300462,2404
and restlessness,and restlessness,symptom,34,36,51,0.561497,315
miosis,miosis,symptom,29,35,1,0.431034,175
ptosis,ptosis,symptom,233,338,1,0.153507,4149
exophthalmos,exophthalmos,symptom,314,490,1,0.114222,5613
visual impairment,visual impairment,symptom,654,1262,1,0.055716,11897
extraocular metastasis,extraocular metastasis,symptom,26,28,1,0.418462,136
upward deviation,upward deviation,symptom,9,9,1,1,36
fixation of the eyeball,fixation of the eyeball,symptom,9,9,1,1,36
floating eyeball phenomenon,floating eyeball phenomenon,symptom,24,24,31,0.387681,107
limited eye movement,limited eye movement,symptom,10,11,1,0.822222,37
thirst,thirst,symptom,211,307,51,0.162807,3607
reduced urine output,reduced urine output,symptom,31,34,79,0.791398,368
weakness,weakness,symptom,933,1978,79,0.061119,26573
elevated body temperature,elevated body temperature,symptom,46,50,80,0.41256,427
restlessness or apathy in the later stages,restlessness or apathy in the later stages,symptom,24,24,79,1,276
seizures,seizures,symptom,607,1334,31,0.101386,18647
epileptiform attacks,epileptiform attacks,symptom,65,69,31,0.505288,1051
anxiety,anxiety,symptom,474,900,79,0.094236,10564
fear,fear,symptom,174,299,79,0.204305,3075
damp-heat in spleen,damp-heat in spleen,symptom,12,13,51,0.651515,43
stomach,stomach,symptom,25,26,51,0.433333,130
colored sweat,colored sweat,symptom,5,5,51,1,10
sudden rage,sudden rage,symptom,5,5,51,1,10
mill wheel murmur,mill wheel murmur,symptom,4,4,79,1,6
foreign body sensation in the eye,foreign body sensation in the eye,symptom,92,132,1,0.243192,1018
conjunctival congestion,conjunctival congestion,symptom,322,540,1,0.111956,5786
abnormal sweating,abnormal sweating,symptom,249,401,79,0.216284,6678
cardiac murmur,cardiac murmur,symptom,165,320,79,0.247081,3343
palpitations after exertion,palpitations after exertion,symptom,14,15,0,0.824176,75
wheezing in pregnant women,wheezing in pregnant women,symptom,4,4,79,1,6
difficulty swallowing,difficulty swallowing,symptom,518,929,79,0.08368,11205
slurred speech,slurred speech,symptom,85,113,31,0.29888,1067
bulbar paralysis,bulbar paralysis,symptom,18,20,31,0.647059,99
coughing while drinking,coughing while drinking,symptom,9,9,31,1,36
muscle atrophy,muscle atrophy,symptom,670,1070,31,0.067015,15019
myogenic muscle weakness,myogenic muscle weakness,symptom,96,113,31,0.206579,942
facial muscle weakness,facial muscle weakness,symptom,73,85,31,0.237062,623
coughing,coughing,symptom,453,943,79,0.118004,12081
hoarseness,hoarseness,symptom,409,786,79,0.126085,10520
absence of gag reflex,absence of gag reflex,symptom,9,9,31,1,36
erythema on the inner side of the thighs,erythema on the inner side of the thighs,symptom,9,9,100,1,36
rash near the scrotum on the inner side of the groin,rash near the scrotum on the inner side of the groin,symptom,9,9,100,1,36
itching in the groin area,itching in the groin area,symptom,9,9,100,1,36
scaling,scaling,symptom,111,145,100,0.161343,985
hyperpigmentation of the skin in the groin,hyperpigmentation of the skin in the groin,symptom,9,9,100,1,36
inner thighs,inner thighs,symptom,30,30,80,0.255172,111
pruritus,pruritus,symptom,394,695,100,0.092623,7171
scrotal itching,scrotal itching,symptom,9,9,100,1,36
itching of the vulva,itching of the vulva,symptom,16,16,80,0.508333,61
papules,papules,symptom,915,1882,100,0.043608,18235
convulsions,convulsions,symptom,733,1732,79,0.082683,22182
bloating,bloating,symptom,306,711,51,0.128019,5974
enlarged liver,enlarged liver,symptom,43,54,51,0.533776,482
tremors,tremors,symptom,345,503,31,0.130199,7726
sweating,sweating,symptom,214,363,79,0.1856,4230
hyperreflexia,hyperreflexia,symptom,134,186,31,0.25014,2229
local burning sensation,local burning sensation,symptom,99,110,100,0.288188,1398
vulvar burning,vulvar burning,symptom,44,52,80,0.399577,378
ulceration,ulceration,symptom,247,342,100,0.157072,4772
decreased responsiveness,decreased responsiveness,symptom,10,10,79,1,45
refusal to feed,refusal to feed,symptom,52,62,51,0.334842,444
hypothermia,hypothermia,symptom,101,121,31,0.280792,1418
pallor,pallor,symptom,709,1559,79,0.080479,20199
hypoglycemic coma,hypoglycemic coma,symptom,38,41,0,0.472262,332
prone to fainting,prone to fainting,symptom,37,39,79,0.644144,429
trembling,trembling,symptom,77,94,79,0.3838,1123
lethargy,lethargy,symptom,372,672,51,0.148712,10262
maculopapular rash,maculopapular rash,symptom,393,774,100,0.132913,10238
malar rash,malar rash,symptom,50,61,0,0.478367,586
muscle pain,muscle pain,symptom,156,216,0,0.297436,3596
meningitis,meningitis,symptom,183,300,0,0.313697,5224
lower right abdominal colic,lower right abdominal colic,symptom,4,4,51,1,6
fever with chills,fever with chills,symptom,198,320,0,0.245347,4785
tenderness in the lower right abdomen with rebound pain,tenderness in the lower right abdomen with rebound pain,symptom,4,4,51,1,6
swelling in the lacrimal sac area,swelling in the lacrimal sac area,symptom,3,3,1,1,3
epiphora,epiphora,symptom,79,119,1,0.197014,607
chronic dacryocystitis,chronic dacryocystitis,symptom,3,3,1,1,3
and swelling of the lacrimal sac,and swelling of the lacrimal sac,symptom,3,3,1,1,3
absence of respiration,absence of respiration,symptom,1,1,2,0,0
cry immediately after birth,cry immediately after birth,symptom,1,1,2,0,0
disappearance of pregnancy reactions,disappearance of pregnancy reactions,symptom,2,2,51,1,1
vaginal bleeding,vaginal bleeding,symptom,214,340,51,0.118468,2700
jaw bulging,jaw bulging,symptom,2,2,3,1,1
bone thinning,bone thinning,symptom,2,2,3,1,1
cyst enlargement,cyst enlargement,symptom,2,2,3,1,1
tachycardia,tachycardia,symptom,524,1160,79,0.10879,14907
sudden death,sudden death,symptom,197,390,79,0.207086,3998
ectopic tachycardia,ectopic tachycardia,symptom,27,43,79,0.666667,234
stomach pain,stomach pain,symptom,72,85,0,0.577856,1477
vomiting of blood or black stools,vomiting of blood or black stools,symptom,2,2,0,1,1
hidden pain in the stomach area,hidden pain in the stomach area,symptom,15,15,51,0.8,84
lipid deposition disorders,lipid deposition disorders,symptom,4,4,80,1,6
small yellowish papules,small yellowish papules,symptom,4,4,80,1,6
hyperlipidemic vascular damage,hyperlipidemic vascular damage,symptom,7,7,80,0.47619,10
arteriosclerosis,arteriosclerosis,symptom,65,72,31,0.271154,564
dyslipidemia,dyslipidemia,symptom,11,11,80,0.418182,23
fetal edema,fetal edema,symptom,20,20,51,1,190
skin petechiae,skin petechiae,symptom,153,210,51,0.281648,3275
faint heart sounds,faint heart sounds,symptom,88,125,79,0.422153,1616
respiratory distress,respiratory distress,symptom,205,297,79,0.242276,5066
opisthotonos,opisthotonos,symptom,126,163,31,0.253333,1995
redness,redness,symptom,395,526,207,0.068432,5325
dryness,dryness,symptom,113,127,1,0.124368,787
stinging,stinging,symptom,44,67,1,0.342495,324
symptoms of upper respiratory tract catarrh,symptoms of upper respiratory tract catarrh,symptom,39,39,100,0.624831,463
low fever,low fever,symptom,367,718,51,0.148434,9969
bloody sputum,bloody sputum,symptom,45,73,79,0.575758,570
coughing up phlegm,coughing up phlegm,symptom,52,64,79,0.46003,610
lemon-yellow sputum,lemon-yellow sputum,symptom,16,16,79,1,120
increased eosinophils,increased eosinophils,symptom,28,28,51,0.751323,284
pulmonary rales,pulmonary rales,symptom,36,43,79,0.652381,411
joint pain,joint pain,symptom,863,1819,0,0.058166,21635
joint swelling,joint swelling,symptom,284,462,0,0.14398,5786
joint deformity,joint deformity,symptom,84,110,0,0.217728,759
fever with joint swelling,fever with joint swelling,symptom,19,20,0,0.748538,128
cyst,cyst,symptom,87,101,80,0.182037,681
feeling of vulvar prolapse,feeling of vulvar prolapse,symptom,7,7,80,1,21
vulvar swelling,vulvar swelling,symptom,62,92,80,0.277102,524
difficulty in intercourse,difficulty in intercourse,symptom,37,40,80,0.268769,179
numbness on the anterolateral aspect of the thigh,numbness on the anterolateral aspect of the thigh,symptom,15,15,100,1,105
formication,formication,symptom,40,43,31,0.383333,299
bromhidrosis,bromhidrosis,symptom,15,15,100,1,105
and fear,and fear,symptom,15,15,100,1,105
insidious onset of upper abdominal pain,insidious onset of upper abdominal pain,symptom,6,6,51,1,15
indigestion,indigestion,symptom,270,531,51,0.164367,5969
acid reflux,acid reflux,symptom,135,264,51,0.246545,2230
and weight loss,and weight loss,symptom,75,91,51,0.283243,786
unexplained death,unexplained death,symptom,0,0,4,0,0
pale,pale,symptom,86,92,25,0.230096,841
sallow complexion,sallow complexion,symptom,54,59,0,0.399022,571
fine,fine,symptom,9,9,0,1,36
dry yellow hair,dry yellow hair,symptom,9,9,0,1,36
mild facial edema,mild facial edema,symptom,9,9,0,1,36
subcutaneous nodules with a hard texture similar to elephant skin on the female breast surface,subcutaneous nodules with a hard texture similar to elephant skin on the female breast surface,symptom,8,8,207,1,28
heat pain in the breast,heat pain in the breast,symptom,8,8,207,1,28
and smooth,and smooth,symptom,8,8,207,1,28
firm spherical masses within the breast,firm spherical masses within the breast,symptom,8,8,207,1,28
skin,skin,symptom,144,198,0,0.264957,2728
mucosal bleeding,mucosal bleeding,symptom,31,36,0,0.470968,219
chemical burns,chemical burns,symptom,4,4,0,1,6
nail abnormalities,nail abnormalities,symptom,38,41,100,0.385491,271
hair loss,hair loss,symptom,360,464,100,0.107676,6958
anal discomfort,anal discomfort,symptom,14,14,0,0.681319,62
hidden anal pain,hidden anal pain,symptom,3,3,100,1,3
anal itching,anal itching,symptom,76,87,100,0.24,684
prone to dampness,prone to dampness,symptom,3,3,100,1,3
pale or sallow skin,pale or sallow skin,symptom,11,11,79,1,55
mucous membranes,mucous membranes,symptom,131,175,79,0.203523,1733
crying,crying,symptom,131,160,0,0.169113,1440
listlessness,listlessness,symptom,103,123,79,0.350657,1842
disinterest in activities,disinterest in activities,symptom,11,11,79,1,55
reduced appetite,reduced appetite,symptom,178,279,51,0.244779,3856
older children may complain of dizziness,older children may complain of dizziness,symptom,11,11,79,1,55
darkening before the eyes,darkening before the eyes,symptom,11,11,79,1,55
and tinnitus,and tinnitus,symptom,11,11,79,1,55
itchy eyes,itchy eyes,symptom,74,105,1,0.274713,742
dry,dry,symptom,194,218,1,0.126756,2373
sour,sour,symptom,21,21,100,0.628571,132
and swollen sensation,and swollen sensation,symptom,5,5,1,1,10
granular appearance of the palpebral conjunctiva,granular appearance of the palpebral conjunctiva,symptom,5,5,1,1,10
thinning,thinning,symptom,29,30,100,0.29803,121
shiny skin,shiny skin,symptom,21,22,100,0.4,84
abnormal hair growth,abnormal hair growth,symptom,37,38,100,0.388889,259
pigmentary changes,pigmentary changes,symptom,25,26,100,0.526667,158
numbness in the extremities,numbness in the extremities,symptom,27,27,31,0.361823,127
pain or strange sensations,pain or strange sensations,symptom,8,8,100,1,28
soft tissue swelling,soft tissue swelling,symptom,51,58,207,0.221176,282
oral ulcers,oral ulcers,symptom,254,366,0,0.192244,6177
weakness in the lower limbs,weakness in the lower limbs,symptom,232,321,31,0.160696,4306
bloody stool,bloody stool,symptom,239,513,51,0.196442,5587
muscle tremors,muscle tremors,symptom,33,35,79,0.681818,360
paralysis,paralysis,symptom,789,1513,31,0.06488,20169
sore throat,sore throat,symptom,481,1090,0,0.11587,13376
mental disorders,mental disorders,symptom,326,482,80,0.133648,7080
nipple itching,nipple itching,symptom,16,16,100,1,120
burning sensation,burning sensation,symptom,299,407,100,0.113892,5074
rough,rough,symptom,35,35,100,0.426891,254
thickened skin with flaking,thickened skin with flaking,symptom,16,16,100,1,120
erosion,erosion,symptom,231,292,100,0.103143,2740
exudation,exudation,symptom,171,231,100,0.18796,2732
and ulceration,and ulceration,symptom,34,34,100,0.427807,240
abnormal tendon reflexes,abnormal tendon reflexes,symptom,105,131,31,0.250549,1368
sensory disturbances,sensory disturbances,symptom,715,1407,31,0.068073,17376
adolescent scoliosis,adolescent scoliosis,symptom,12,12,31,1,66
childhood scoliosis,childhood scoliosis,symptom,12,12,31,1,66
foot deformities,foot deformities,symptom,30,30,31,0.296552,129
spinal deformities,spinal deformities,symptom,12,12,31,1,66
steppage gait,steppage gait,symptom,31,33,31,0.374194,174
glove or stocking type of superficial,glove or stocking type of superficial,symptom,12,12,31,1,66
deep sensory disturbances,deep sensory disturbances,symptom,38,42,31,0.359886,253
nutritional disorders,nutritional disorders,symptom,84,88,31,0.256454,894
pes cavus,pes cavus,symptom,40,43,31,0.332051,259
frequent urination,frequent urination,symptom,354,606,80,0.090604,5661
urgent urination,urgent urination,symptom,104,162,80,0.221994,1189
painful urination,painful urination,symptom,222,352,80,0.131629,3229
abnormal urine volume,abnormal urine volume,symptom,5,5,80,1,10
deepened respiration,deepened respiration,symptom,3,3,79,1,3
absence of pupillary light reflex,absence of pupillary light reflex,symptom,6,6,1,1,15
inflammation,inflammation,symptom,106,117,207,0.236119,1314
cellulitis,cellulitis,symptom,156,201,0,0.270141,3266
ectropion,ectropion,symptom,40,43,100,0.25,195
conjunctival hyperemia,conjunctival hyperemia,symptom,32,42,1,0.495968,246
vision impairment,vision impairment,symptom,150,196,1,0.209933,2346
hemiplegia,hemiplegia,symptom,338,584,31,0.143241,8158
seizure-like episodes,seizure-like episodes,symptom,102,153,31,0.344399,1774
subcutaneous nodules,subcutaneous nodules,symptom,235,342,0,0.175632,4829
blood-streaked sputum,blood-streaked sputum,symptom,88,128,79,0.447492,1713
coughing up rust-colored sputum,coughing up rust-colored sputum,symptom,24,26,79,0.818841,226
abnormal bleeding,abnormal bleeding,symptom,18,18,51,0.385621,59
abdominal pain or bloating,abdominal pain or bloating,symptom,1,1,51,0,0
chilliness,chilliness,symptom,42,44,31,0.437863,377
cold intolerance,cold intolerance,symptom,112,137,207,0.231982,1442
numbness,numbness,symptom,442,542,31,0.072634,7079
intermittent claudication,intermittent claudication,symptom,152,186,31,0.15894,1824
rest pain,rest pain,symptom,37,40,207,0.381381,254
increased skin temperature,increased skin temperature,symptom,118,131,207,0.243807,1683
dry gangrene,dry gangrene,symptom,54,54,207,0.40601,581
disappearance of dorsal foot artery pulsation,disappearance of dorsal foot artery pulsation,symptom,15,15,207,1,105
acute visual impairment,acute visual impairment,symptom,7,7,1,1,21
decline in vision,decline in vision,symptom,11,11,1,0.509091,28
erythema,erythema,symptom,357,547,100,0.105089,6678
and multiple scales,and multiple scales,symptom,15,15,100,1,105
venous thrombosis,venous thrombosis,symptom,55,57,80,0.276768,411
heat pain,heat pain,symptom,16,18,207,0.583333,70
local venous tenderness,local venous tenderness,symptom,69,73,207,0.246377,578
gastrocnemius muscle tenderness,gastrocnemius muscle tenderness,symptom,10,10,207,1,45
calf swelling,calf swelling,symptom,22,23,207,0.428571,99
calf edema,calf edema,symptom,10,10,207,1,45
referred pain,referred pain,symptom,74,84,31,0.358756,969
lower limb swelling,lower limb swelling,symptom,20,21,207,0.573684,109
pallid skin,pallid skin,symptom,10,10,207,1,45
high fever,high fever,symptom,798,2055,0,0.077043,24500
lower abdominal pain,lower abdominal pain,symptom,183,255,80,0.149463,2489
sensation of heaviness in the lower abdomen,sensation of heaviness in the lower abdomen,symptom,5,5,80,1,10
back pain,back pain,symptom,413,739,80,0.118221,10058
pain during intercourse,pain during intercourse,symptom,35,36,80,0.302521,180
abnormal vaginal discharge,abnormal vaginal discharge,symptom,35,39,80,0.240336,143
jugular venous distension,jugular venous distension,symptom,88,163,79,0.421108,1612
abdominal bloating,abdominal bloating,symptom,194,303,51,0.203355,3807
pupil abnormalities,pupil abnormalities,symptom,94,129,1,0.277282,1212
reduced or absent secretion of tears,reduced or absent secretion of tears,symptom,6,6,51,1,15
saliva,saliva,symptom,26,28,79,0.784615,255
and sweat,and sweat,symptom,6,6,51,1,15
urinary retention,urinary retention,symptom,311,494,80,0.120506,5809
abnormal heart sounds,abnormal heart sounds,symptom,176,384,79,0.246494,3796
systolic murmur,systolic murmur,symptom,146,241,79,0.261502,2768
diffuse apical impulse,diffuse apical impulse,symptom,8,8,79,1,28
vesicles,vesicles,symptom,280,480,100,0.139606,5453
lack of appetite,lack of appetite,symptom,107,142,51,0.334333,1896
alopecia,alopecia,symptom,48,57,100,0.399823,451
cognitive developmental delay,cognitive developmental delay,symptom,14,14,100,1,91
infectious rhinitis,infectious rhinitis,symptom,55,63,100,0.377778,561
pharyngitis,pharyngitis,symptom,180,256,100,0.228988,3689
glossitis,glossitis,symptom,207,313,100,0.209324,4463
gingivitis,gingivitis,symptom,130,178,100,0.281932,2364
pustules,pustules,symptom,465,801,100,0.089053,9607
cold sweats,cold sweats,symptom,243,403,79,0.181342,5332
positional vertigo,positional vertigo,symptom,5,5,79,1,10
rotational vertigo,rotational vertigo,symptom,13,15,51,0.75641,59
